Date;Time;Sales
31.12.2020;21:09:55;6
31.12.2020;21:09:56;0
31.12.2020;21:11:55;2
31.12.2020;21:11:56;0
31.12.2020;21:13:55;3
31.12.2020;21:13:56;2
31.12.2020;21:15:55;2
31.12.2020;21:15:56;0
31.12.2020;21:17:55;2
31.12.2020;21:17:56;0
31.12.2020;21:19:55;0
31.12.2020;21:19:56;0
31.12.2020;21:21:55;2
31.12.2020;21:21:56;1
31.12.2020;21:23:55;1
31.12.2020;21:23:56;0
31.12.2020;21:25:55;3
31.12.2020;21:25:56;0
31.12.2020;21:27:55;3
31.12.2020;21:27:56;1
31.12.2020;21:29:55;1
31.12.2020;21:29:56;2
31.12.2020;21:31:55;1
31.12.2020;21:31:56;0
31.12.2020;21:33:55;1
31.12.2020;21:33:56;5
31.12.2020;21:35:55;1
31.12.2020;21:35:56;0
31.12.2020;21:37:55;4
31.12.2020;21:37:56;1
31.12.2020;21:39:55;2
31.12.2020;21:39:56;1
31.12.2020;21:41:55;3
31.12.2020;21:41:56;1
31.12.2020;21:43:55;0
31.12.2020;21:43:56;3
31.12.2020;21:45:55;0
31.12.2020;21:45:56;3
31.12.2020;21:47:55;2
31.12.2020;21:47:56;3
31.12.2020;21:49:55;1
31.12.2020;21:49:56;1
31.12.2020;21:51:55;2
31.12.2020;21:51:56;0
31.12.2020;21:53:55;3
31.12.2020;21:53:56;1
31.12.2020;21:55:55;5
31.12.2020;21:55:56;3
31.12.2020;21:57:55;1
31.12.2020;21:57:56;2
31.12.2020;21:59:55;2
31.12.2020;21:59:56;2
31.12.2020;22:01:56;2
31.12.2020;22:01:57;2
31.12.2020;22:03:56;0
31.12.2020;22:03:57;1
31.12.2020;22:05:56;1
31.12.2020;22:05:57;4
31.12.2020;22:07:56;2
31.12.2020;22:07:57;0
31.12.2020;22:09:56;0
31.12.2020;22:09:57;0
31.12.2020;22:11:56;3
31.12.2020;22:11:57;3
31.12.2020;22:13:56;2
31.12.2020;22:13:57;2
31.12.2020;22:15:56;1
31.12.2020;22:15:57;2
31.12.2020;22:17:56;0
31.12.2020;22:17:57;3
31.12.2020;22:19:56;0
31.12.2020;22:19:57;2
31.12.2020;22:21:56;1
31.12.2020;22:21:57;0
31.12.2020;22:23:56;4
31.12.2020;22:23:57;2
31.12.2020;22:25:56;0
31.12.2020;22:25:57;2
31.12.2020;22:27:56;2
31.12.2020;22:27:57;1
31.12.2020;22:29:56;2
31.12.2020;22:29:57;0
31.12.2020;22:31:56;1
31.12.2020;22:31:57;6
31.12.2020;22:33:56;1
31.12.2020;22:33:57;1
31.12.2020;22:35:56;3
31.12.2020;22:35:57;2
31.12.2020;22:37:56;2
31.12.2020;22:37:57;1
31.12.2020;22:39:56;3
31.12.2020;22:39:57;3
31.12.2020;22:41:56;3
31.12.2020;22:41:57;5
31.12.2020;22:43:56;3
31.12.2020;22:43:57;3
31.12.2020;22:45:56;3
31.12.2020;22:45:57;1
31.12.2020;22:47:56;4
31.12.2020;22:47:57;0
31.12.2020;22:49:56;0
31.12.2020;22:49:57;2
31.12.2020;22:51:56;1
31.12.2020;22:51:57;0
31.12.2020;22:53:56;1
31.12.2020;22:53:57;0
31.12.2020;22:55:56;2
31.12.2020;22:55:57;1
31.12.2020;22:57:56;2
31.12.2020;22:57:57;3
31.12.2020;22:59:56;4
31.12.2020;22:59:57;1
31.12.2020;23:01:56;1
31.12.2020;23:01:57;4
31.12.2020;23:03:56;2
31.12.2020;23:03:57;4
31.12.2020;23:05:56;0
31.12.2020;23:05:57;2
31.12.2020;23:07:56;0
31.12.2020;23:07:57;0
31.12.2020;23:09:56;0
31.12.2020;23:09:57;1
31.12.2020;23:11:56;0
31.12.2020;23:11:57;0
31.12.2020;23:13:56;0
31.12.2020;23:13:57;0
31.12.2020;23:15:56;1
31.12.2020;23:15:57;0
31.12.2020;23:17:56;1
31.12.2020;23:17:57;1
31.12.2020;23:19:56;0
31.12.2020;23:19:57;0
31.12.2020;23:21:56;2
31.12.2020;23:21:57;0
31.12.2020;23:23:56;2
31.12.2020;23:23:57;0
31.12.2020;23:25:56;0
31.12.2020;23:25:57;0
31.12.2020;23:27:56;0
31.12.2020;23:27:57;0
31.12.2020;23:29:56;0
31.12.2020;23:29:57;0
31.12.2020;23:31:59;2
31.12.2020;23:32:00;1
31.12.2020;23:33:59;2
31.12.2020;23:34:00;1
31.12.2020;23:35:59;1
31.12.2020;23:36:00;3
31.12.2020;23:37:59;0
31.12.2020;23:38:00;0
31.12.2020;23:39:59;0
31.12.2020;23:40:00;0
31.12.2020;23:41:59;0
31.12.2020;23:42:00;1
31.12.2020;23:43:59;1
31.12.2020;23:44:00;2
31.12.2020;23:45:59;0
31.12.2020;23:46:00;0
31.12.2020;23:47:59;0
31.12.2020;23:48:00;0
31.12.2020;23:49:59;1
31.12.2020;23:50:00;0
31.12.2020;23:51:59;1
31.12.2020;23:52:00;0
31.12.2020;23:53:59;2
31.12.2020;23:54:00;0
31.12.2020;23:55:59;1
31.12.2020;23:56:00;2
31.12.2020;23:57:59;0
31.12.2020;23:58:00;0
31.12.2020;23:59:59;0
01.01.2021;0:00:00;0
01.01.2021;0:01:59;0
01.01.2021;0:02:00;0
01.01.2021;0:03:59;0
01.01.2021;0:04:00;2
01.01.2021;0:05:59;0
01.01.2021;0:06:00;0
01.01.2021;0:07:59;0
01.01.2021;0:08:00;0
01.01.2021;0:09:59;0
01.01.2021;0:10:00;0
01.01.2021;0:11:59;1
01.01.2021;0:12:00;3
01.01.2021;0:13:59;0
01.01.2021;0:14:00;0
01.01.2021;0:15:59;0
01.01.2021;0:16:00;0
01.01.2021;0:17:59;0
01.01.2021;0:18:00;0
01.01.2021;0:19:59;0
01.01.2021;0:20:00;2
01.01.2021;0:21:59;1
01.01.2021;0:22:00;1
01.01.2021;0:23:59;0
01.01.2021;0:24:00;0
01.01.2021;0:25:59;1
01.01.2021;0:26:00;0
01.01.2021;0:27:59;0
01.01.2021;0:28:00;0
01.01.2021;0:30:00;0
01.01.2021;0:32:00;1
01.01.2021;0:34:00;1
01.01.2021;0:36:00;1
01.01.2021;0:38:00;2
01.01.2021;0:40:00;2
01.01.2021;0:42:00;1
01.01.2021;0:44:00;0
01.01.2021;0:46:00;0
01.01.2021;0:48:00;1
01.01.2021;0:50:00;1
01.01.2021;0:52:00;0
01.01.2021;0:54:00;0
01.01.2021;0:56:00;0
01.01.2021;0:58:00;0
01.01.2021;1:00:00;0
01.01.2021;1:02:00;0
01.01.2021;1:04:00;0
01.01.2021;1:06:00;2
01.01.2021;1:08:00;0
01.01.2021;1:10:00;1
01.01.2021;1:12:00;0
01.01.2021;1:14:00;1
01.01.2021;1:16:00;1
01.01.2021;1:18:00;1
01.01.2021;1:20:00;1
01.01.2021;1:22:00;0
01.01.2021;1:24:00;0
01.01.2021;1:26:00;0
01.01.2021;1:28:00;1
01.01.2021;1:30:00;0
01.01.2021;1:32:00;0
01.01.2021;1:34:00;0
01.01.2021;1:36:00;0
01.01.2021;1:38:00;0
01.01.2021;1:40:00;1
01.01.2021;1:42:00;0
01.01.2021;1:44:00;1
01.01.2021;1:46:00;1
01.01.2021;1:48:00;0
01.01.2021;1:50:00;1
01.01.2021;1:52:00;0
01.01.2021;1:54:00;2
01.01.2021;1:56:00;0
01.01.2021;1:58:00;0
01.01.2021;2:00:00;1
01.01.2021;2:02:00;0
01.01.2021;2:04:00;1
01.01.2021;2:06:00;1
01.01.2021;2:08:00;0
01.01.2021;2:10:00;0
01.01.2021;2:12:00;0
01.01.2021;2:14:00;0
01.01.2021;2:16:00;0
01.01.2021;2:18:00;0
01.01.2021;2:20:00;0
01.01.2021;2:22:00;0
01.01.2021;2:24:00;0
01.01.2021;2:26:00;1
01.01.2021;2:28:00;1
01.01.2021;2:30:00;0
01.01.2021;2:32:01;2
01.01.2021;2:34:01;0
01.01.2021;2:38:35;0
01.01.2021;2:38:35;0
01.01.2021;2:40:35;0
01.01.2021;2:40:35;0
01.01.2021;2:42:35;0
01.01.2021;2:44:35;0
01.01.2021;2:46:35;0
01.01.2021;2:48:35;1
01.01.2021;2:50:35;0
01.01.2021;2:52:35;0
01.01.2021;2:52:36;0
01.01.2021;2:54:35;0
01.01.2021;2:54:36;2
01.01.2021;2:56:35;0
01.01.2021;2:56:36;0
01.01.2021;2:58:35;0
01.01.2021;2:58:36;0
01.01.2021;3:00:35;0
01.01.2021;3:00:36;0
01.01.2021;3:02:35;0
01.01.2021;3:02:36;0
01.01.2021;3:04:35;0
01.01.2021;3:04:36;0
01.01.2021;3:06:35;0
01.01.2021;3:06:36;0
01.01.2021;3:08:35;0
01.01.2021;3:08:36;0
01.01.2021;3:10:35;0
01.01.2021;3:10:36;0
01.01.2021;3:12:35;0
01.01.2021;3:12:36;0
01.01.2021;3:14:35;1
01.01.2021;3:14:36;0
01.01.2021;3:16:35;0
01.01.2021;3:16:36;0
01.01.2021;3:18:36;0
01.01.2021;3:18:36;0
01.01.2021;3:20:36;0
01.01.2021;3:20:36;0
01.01.2021;3:22:36;0
01.01.2021;3:22:36;0
01.01.2021;3:24:37;0
01.01.2021;3:26:37;0
01.01.2021;3:28:37;0
01.01.2021;3:30:37;1
01.01.2021;3:32:37;0
01.01.2021;3:34:37;0
01.01.2021;3:36:37;0
01.01.2021;3:38:37;0
01.01.2021;3:40:37;0
01.01.2021;3:42:37;1
01.01.2021;3:44:37;0
01.01.2021;3:46:37;0
01.01.2021;3:48:37;0
01.01.2021;3:50:37;0
01.01.2021;3:52:37;0
01.01.2021;3:54:37;0
01.01.2021;3:56:37;0
01.01.2021;3:58:37;1
01.01.2021;4:00:37;0
01.01.2021;4:02:37;0
01.01.2021;4:04:37;0
01.01.2021;4:06:37;0
01.01.2021;4:08:37;0
01.01.2021;4:10:37;0
01.01.2021;4:12:37;0
01.01.2021;4:14:37;0
01.01.2021;4:16:37;0
01.01.2021;4:18:37;0
01.01.2021;4:20:37;0
01.01.2021;4:22:37;0
01.01.2021;4:24:37;0
01.01.2021;4:26:37;1
01.01.2021;4:28:37;1
01.01.2021;4:30:37;0
01.01.2021;4:30:37;1
01.01.2021;4:32:37;0
01.01.2021;4:32:37;0
01.01.2021;4:34:37;1
01.01.2021;4:34:37;0
01.01.2021;4:36:37;0
01.01.2021;4:36:37;1
01.01.2021;4:38:37;0
01.01.2021;4:38:37;0
01.01.2021;4:40:37;0
01.01.2021;4:40:37;1
01.01.2021;4:42:37;0
01.01.2021;4:42:37;0
01.01.2021;4:44:37;0
01.01.2021;4:44:37;0
01.01.2021;4:46:37;0
01.01.2021;4:46:37;0
01.01.2021;4:48:37;0
01.01.2021;4:48:37;1
01.01.2021;4:50:37;0
01.01.2021;4:50:37;1
01.01.2021;4:52:37;0
01.01.2021;4:52:37;0
01.01.2021;4:54:37;0
01.01.2021;4:54:37;0
01.01.2021;4:56:37;0
01.01.2021;4:56:37;0
01.01.2021;4:58:37;0
01.01.2021;4:58:37;0
01.01.2021;5:00:37;0
01.01.2021;5:00:37;0
01.01.2021;5:04:37;1
01.01.2021;5:04:37;0
01.01.2021;5:06:40;0
01.01.2021;5:06:40;0
01.01.2021;5:08:40;0
01.01.2021;5:08:40;0
01.01.2021;5:12:52;0
